monster1,monster2,monster1_win_pct,monster2_win_pct
Manticore,Pegasus,38.2%,61.8%
Owl,Quipper,61.8%,38.2%
Owl,Weasel,61.8%,38.2%
Owlbear,Troll,38.2%,61.8%
Reef Shark,Shadow,61.8%,38.2%
Sahuagin,Zombie,61.8%,38.2%
Warhorse Skeleton,Wight,61.8%,38.2%
Bandit Captain,Basilisk,61.9%,38.1%
Bulette,Efreeti,38.1%,61.9%
Duergar,Wight,38.1%,61.9%
Gelatinous Cube,Saber-Toothed Tiger,61.9%,38.1%
Green Hag,Rakshasa,61.9%,38.1%
Kobold,Lemure,61.9%,38.1%
Mastiff,Pseudodragon,38.1%,61.9%
Pit Fiend,Solar,61.9%,38.1%
Rust Monster,Spy,61.9%,38.1%
"Werewolf, Hybrid Form",White Dragon Wyrmling,61.9%,38.1%
"Werewolf, Wolf Form",White Dragon Wyrmling,61.9%,38.1%
Awakened Tree,Flesh Golem,38.0%,62.0%
Azer,Mimic,38.0%,62.0%
Basilisk,Doppelganger,62.0%,38.0%
Bulette,Treant,62.0%,38.0%
Copper Dragon Wyrmling,Lion,62.0%,38.0%
Crocodile,Giant Bat,62.0%,38.0%
Crocodile,Lizardfolk,62.0%,38.0%
Cult Fanatic,Flying Sword,38.0%,62.0%
Frost Giant,Young Gold Dragon,38.0%,62.0%
Frost Giant,Young Red Dragon,38.0%,62.0%
Ghoul,Hobgoblin,62.0%,38.0%
Guard,Noble,62.0%,38.0%
Mimic,Swarm of Quippers,62.0%,38.0%
Pegasus,Rhinoceros,62.0%,38.0%
Swarm of Beetles,"Wererat, Human Form",62.0%,38.0%
Swarm of Centipedes,"Wererat, Human Form",62.0%,38.0%
Swarm of Insects,"Wererat, Human Form",62.0%,38.0%
Swarm of Spiders,"Wererat, Human Form",62.0%,38.0%
Swarm of Wasps,"Wererat, Human Form",62.0%,38.0%
Troll,Unicorn,62.0%,38.0%
Acolyte,Stirge,62.1%,37.9%
Bandit,Imp,37.9%,62.1%
Drow,Shadow,37.9%,62.1%
Druid,Giant Frog,62.1%,37.9%
Erinyes,Hydra,37.9%,62.1%
Giant Centipede,Merfolk,37.9%,62.1%
Giant Crab,Pony,62.1%,37.9%
Giant Weasel,Pony,62.1%,37.9%
Gray Ooze,Imp,62.1%,37.9%
Half-Red Dragon Veteran,Ogre,62.1%,37.9%
Lion,Swarm of Beetles,62.1%,37.9%
Lion,Swarm of Centipedes,62.1%,37.9%
Lion,Swarm of Insects,62.1%,37.9%
Lion,Swarm of Spiders,62.1%,37.9%
Lion,Swarm of Wasps,62.1%,37.9%
Silver Dragon Wyrmling,Veteran,62.1%,37.9%
Animated Armor,Brown Bear,62.2%,37.8%
Assassin,Owlbear,37.8%,62.2%
Axe Beak,Cult Fanatic,62.2%,37.8%
Azer,Merrow,37.8%,62.2%
Black Dragon Wyrmling,White Dragon Wyrmling,62.2%,37.8%
Bronze Dragon Wyrmling,Doppelganger,37.8%,62.2%
Cloaker,Troll,62.2%,37.8%
Deep Gnome (Svirfneblin),Swarm of Beetles,37.8%,62.2%
Deep Gnome (Svirfneblin),Swarm of Centipedes,37.8%,62.2%
Deep Gnome (Svirfneblin),Swarm of Insects,37.8%,62.2%
Deep Gnome (Svirfneblin),Swarm of Spiders,37.8%,62.2%
Deep Gnome (Svirfneblin),Swarm of Wasps,37.8%,62.2%
Draft Horse,Duergar,37.8%,62.2%
Elk,Magmin,62.2%,37.8%
Gargoyle,Giant Scorpion,37.8%,62.2%
Ghoul,Hippogriff,62.2%,37.8%
Giant Badger,Violet Fungus,62.2%,37.8%
Giant Crocodile,Hezrou,37.8%,62.2%
Hunter Shark,Manticore,62.2%,37.8%
Hunter Shark,Saber-Toothed Tiger,62.2%,37.8%
Minotaur,Xorn,37.8%,62.2%
Assassin,Veteran,62.3%,37.7%
Barbed Devil,Ogre Zombie,62.3%,37.7%
Cat,Crab,62.3%,37.7%
Djinni,Gorgon,37.7%,62.3%
Giant Centipede,Mastiff,62.3%,37.7%
Giant Crab,Magma Mephit,62.3%,37.7%
Giant Owl,Giant Vulture,62.3%,37.7%
Awakened Tree,Red Dragon Wyrmling,37.6%,62.4%
Blink Dog,Priest,62.4%,37.6%
Blood Hawk,Violet Fungus,37.6%,62.4%
Gargoyle,Swarm of Quippers,37.6%,62.4%
Ghost,Pegasus,62.4%,37.6%
Giant Frog,Imp,62.4%,37.6%
Giant Rat,Violet Fungus,37.6%,62.4%
Giant Rat (Diseased),Violet Fungus,37.6%,62.4%
Giant Vulture,Thug,37.6%,62.4%
Guard,Pony,62.4%,37.6%
Otyugh,Wraith,62.4%,37.6%
Pegasus,Spirit Naga,37.6%,62.4%
Remorhaz,Storm Giant,62.4%,37.6%
Bat,Owl,62.5%,37.5%
Centaur,Hell Hound,62.5%,37.5%
Centaur,Succubus/Incubus,37.5%,62.5%
Death Dog,Swarm of Beetles,62.5%,37.5%
Death Dog,Swarm of Centipedes,62.5%,37.5%
Death Dog,Swarm of Insects,62.5%,37.5%
Death Dog,Swarm of Spiders,62.5%,37.5%
Death Dog,Swarm of Wasps,62.5%,37.5%
Flesh Golem,Plesiosaurus,62.5%,37.5%
Flying Sword,Harpy,37.5%,62.5%
Ghast,White Dragon Wyrmling,62.5%,37.5%
Gnoll,Swarm of Ravens,37.5%,62.5%
Green Hag,Wraith,62.5%,37.5%
Hunter Shark,Vampire Spawn,37.5%,62.5%
Lion,Mage,62.5%,37.5%
Rhinoceros,Spirit Naga,37.5%,62.5%
Ankheg,Green Dragon Wyrmling,62.6%,37.4%
Assassin,Half-Red Dragon Veteran,37.4%,62.6%
Bandit,Boar,62.6%,37.4%
Blood Hawk,Merfolk,62.6%,37.4%
Brass Dragon Wyrmling,Ghoul,62.6%,37.4%
Chain Devil,Oni,62.6%,37.4%
Deep Gnome (Svirfneblin),Giant Lizard,62.6%,37.4%
Giant Eagle,"Wererat, Human Form",62.6%,37.4%
Giant Elk,Succubus/Incubus,62.6%,37.4%
Giant Owl,"Wererat, Human Form",37.4%,62.6%
Giant Rat,Merfolk,62.6%,37.4%
Giant Rat (Diseased),Merfolk,62.6%,37.4%
Giant Spider,Ochre Jelly,37.4%,62.6%
Grick,Phase Spider,62.6%,37.4%
Merfolk,Quasit,37.4%,62.6%
Pegasus,"Weretiger, Human Form",37.4%,62.6%
Adult Black Dragon,Androsphinx,62.7%,37.3%
Adult Gold Dragon,Remorhaz,37.3%,62.7%
Adult Red Dragon,Remorhaz,37.3%,62.7%
Brass Dragon Wyrmling,Hippogriff,62.7%,37.3%
Centaur,Mimic,62.7%,37.3%
Chain Devil,Elephant,37.3%,62.7%
Copper Dragon Wyrmling,Wight,37.3%,62.7%
Giant Frog,Noble,62.7%,37.3%
Giant Poisonous Snake,Lizardfolk,37.3%,62.7%
Giant Vulture,Swarm of Rats,62.7%,37.3%
Harpy,"Wererat, Human Form",62.7%,37.3%
Horned Devil,Young Gold Dragon,37.3%,62.7%
Horned Devil,Young Red Dragon,37.3%,62.7%
Owlbear,"Wereboar, Boar Form",62.7%,37.3%
Owlbear,"Wereboar, Hybrid Form",62.7%,37.3%
Aboleth,Young Copper Dragon,62.8%,37.2%
Awakened Tree,Minotaur Skeleton,37.2%,62.8%
Axe Beak,Swarm of Bats,62.8%,37.2%
Badger,Octopus,37.2%,62.8%
Chimera,Minotaur,62.8%,37.2%
Doppelganger,Polar Bear,62.8%,37.2%
Green Hag,Water Elemental,37.2%,62.8%
Imp,Scout,37.2%,62.8%
Manticore,Silver Dragon Wyrmling,37.2%,62.8%
Spy,"Wererat, Human Form",37.2%,62.8%
Blood Hawk,Giant Badger,37.1%,62.9%
Brown Bear,Giant Toad,62.9%,37.1%
Chuul,Ettin,62.9%,37.1%
Draft Horse,Thug,62.9%,37.1%
Duergar,Ochre Jelly,37.1%,62.9%
Giant Elk,"Wereboar, Human Form",37.1%,62.9%
Giant Wolf Spider,Ice Mephit,37.1%,62.9%
Knight,Owlbear,62.9%,37.1%
Lich,Young White Dragon,62.9%,37.1%
Shadow,Swarm of Beetles,37.1%,62.9%
Shadow,Swarm of Centipedes,37.1%,62.9%
Shadow,Swarm of Insects,37.1%,62.9%
Shadow,Swarm of Spiders,37.1%,62.9%
Shadow,Swarm of Wasps,37.1%,62.9%
Young Gold Dragon,Young Silver Dragon,62.9%,37.1%
Young Red Dragon,Young Silver Dragon,62.9%,37.1%
Adult Black Dragon,Adult White Dragon,63.0%,37.0%
Animated Armor,Ochre Jelly,63.0%,37.0%
Dire Wolf,Swarm of Quippers,63.0%,37.0%
Drider,Giant Elk,63.0%,37.0%
Efreeti,Horned Devil,37.0%,63.0%
Gargoyle,Giant Boar,37.0%,63.0%
Giant Crab,Noble,63.0%,37.0%
Giant Elk,Mummy,63.0%,37.0%
Giant Hyena,Griffon,37.0%,63.0%
Giant Sea Horse,Scout,37.0%,63.0%
Goblin,Magmin,37.0%,63.0%
Goblin,Skeleton,37.0%,63.0%
Gold Dragon Wyrmling,Unicorn,63.0%,37.0%
Gynosphinx,Young White Dragon,63.0%,37.0%
Manticore,Succubus/Incubus,63.0%,37.0%
Ochre Jelly,Warhorse Skeleton,63.0%,37.0%
Tyrannosaurus Rex,Young Gold Dragon,63.0%,37.0%
Tyrannosaurus Rex,Young Red Dragon,63.0%,37.0%
Air Elemental,Elephant,63.1%,36.9%
Couatl,"Vampire, Bat Form",36.9%,63.1%
Duergar,Ettercap,36.9%,63.1%
Dust Mephit,Magmin,63.1%,36.9%
Giant Sea Horse,Priest,36.9%,63.1%
Giant Toad,Tiger,36.9%,63.1%
Grimlock,Riding Horse,36.9%,63.1%
Minotaur Skeleton,"Werebear, Human Form",36.9%,63.1%
Riding Horse,Scout,63.1%,36.9%
Shield Guardian,Young Copper Dragon,36.9%,63.1%
Air Elemental,"Vampire, Vampire Form",36.8%,63.2%
Ankheg,Bandit Captain,36.8%,63.2%
Ape,Swarm of Rats,63.2%,36.8%
Bandit Captain,Doppelganger,63.2%,36.8%
Chain Devil,"Werebear, Human Form",63.2%,36.8%
Chimera,Deva,36.8%,63.2%
Dretch,Giant Badger,63.2%,36.8%
Elk,Giant Sea Horse,63.2%,36.8%
Flying Sword,Giant Vulture,63.2%,36.8%
Giant Goat,Satyr,36.8%,63.2%
Giant Hyena,Giant Scorpion,63.2%,36.8%
Giant Lizard,Swarm of Ravens,36.8%,63.2%
Ochre Jelly,Worg,63.2%,36.8%
Ogre,Ogre Zombie,36.8%,63.2%
Black Bear,Giant Lizard,36.7%,63.3%
Blue Dragon Wyrmling,Hunter Shark,63.3%,36.7%
Cockatrice,Magmin,63.3%,36.7%
Eagle,Stirge,63.3%,36.7%
Gargoyle,Tiger,63.3%,36.7%
Grimlock,Pony,63.3%,36.7%
Lion,Warhorse Skeleton,36.7%,63.3%
Oni,Vrock,63.3%,36.7%
Rust Monster,Satyr,36.7%,63.3%
Satyr,"Wererat, Human Form",63.3%,36.7%
Scorpion,Spider,63.3%,36.7%
Sea Hag,Succubus/Incubus,63.3%,36.7%
Axe Beak,Hippogriff,36.6%,63.4%
Bearded Devil,Giant Hyena,36.6%,63.4%
Bugbear,Gargoyle,63.4%,36.6%
Chimera,Gladiator,36.6%,63.4%
Doppelganger,Saber-Toothed Tiger,36.6%,63.4%
Dretch,Ice Mephit,36.6%,63.4%
Drider,Pegasus,36.6%,63.4%
Druid,Gray Ooze,63.4%,36.6%
Druid,Zombie,63.4%,36.6%
Giant Goat,Reef Shark,63.4%,36.6%
Giant Spider,"Werewolf, Human Form",36.6%,63.4%
Giant Weasel,Grimlock,63.4%,36.6%
Giant Wolf Spider,Magmin,36.6%,63.4%
Mage,"Wererat, Human Form",63.4%,36.6%
Rust Monster,Warhorse,36.6%,63.4%
Rust Monster,"Wererat, Hybrid Form",63.4%,36.6%
Rust Monster,"Wererat, Rat Form",63.4%,36.6%
Swarm of Rats,Swarm of Ravens,36.6%,63.4%
White Dragon Wyrmling,Worg,63.4%,36.6%
Archmage,Centaur,63.5%,36.5%
Blood Hawk,Giant Rat,63.5%,36.5%
Blood Hawk,Giant Rat (Diseased),63.5%,36.5%
Boar,Pony,36.5%,63.5%
Bronze Dragon Wyrmling,Bugbear,63.5%,36.5%
Bronze Dragon Wyrmling,Mummy,36.5%,63.5%
Bulette,Frost Giant,36.5%,63.5%
Cockatrice,Druid,63.5%,36.5%
Crocodile,Swarm of Beetles,36.5%,63.5%
Crocodile,Swarm of Centipedes,36.5%,63.5%
Crocodile,Swarm of Insects,36.5%,63.5%
Crocodile,Swarm of Spiders,36.5%,63.5%
Crocodile,Swarm of Wasps,36.5%,63.5%
Ettin,Green Hag,36.5%,63.5%
Gelatinous Cube,Owlbear,36.5%,63.5%
Giant Poisonous Snake,Hobgoblin,63.5%,36.5%
Giant Rat,Giant Rat (Diseased),63.5%,36.5%
Gibbering Mouther,"Wereboar, Boar Form",63.5%,36.5%
Gibbering Mouther,"Wereboar, Hybrid Form",63.5%,36.5%
Gorgon,Young Blue Dragon,36.5%,63.5%
Hunter Shark,Medusa,36.5%,63.5%
Phase Spider,Tiger,36.5%,63.5%
Awakened Shrub,Deer,63.6%,36.4%
Axe Beak,Orc,36.4%,63.6%
Azer,Centaur,36.4%,63.6%
Blue Dragon Wyrmling,"Weretiger, Human Form",36.4%,63.6%
Bone Devil,Shambling Mound,63.6%,36.4%
Brass Dragon Wyrmling,Duergar,36.4%,63.6%
Doppelganger,Sea Hag,36.4%,63.6%
Duergar,Lion,63.6%,36.4%
Dust Mephit,Giant Crab,63.6%,36.4%
Dust Mephit,Gray Ooze,63.6%,36.4%
Dust Mephit,Zombie,63.6%,36.4%
Giant Ape,Mammoth,63.6%,36.4%
Giant Constrictor Snake,Rhinoceros,63.6%,36.4%
Mummy,Rhinoceros,36.4%,63.6%
Awakened Tree,Fire Elemental,36.3%,63.7%
Bearded Devil,Merrow,36.3%,63.7%
Copper Dragon Wyrmling,"Werewolf, Human Form",36.3%,63.7%
Crab,Lizard,63.7%,36.3%
Ghoul,Spy,63.7%,36.3%
Giant Bat,Thug,36.3%,63.7%
Giant Shark,Ice Devil,36.3%,63.7%
Giant Vulture,Hobgoblin,63.7%,36.3%
Goblin,Sahuagin,36.3%,63.7%
Gorgon,Ice Devil,36.3%,63.7%
Killer Whale,Night Hag,36.3%,63.7%
Lizardfolk,Thug,36.3%,63.7%
Pegasus,Unicorn,36.3%,63.7%
Poisonous Snake,Sprite,63.7%,36.3%
Treant,Young Blue Dragon,36.3%,63.7%
Archmage,Bandit Captain,36.2%,63.8%
Constrictor Snake,Noble,63.8%,36.2%
Dretch,Quasit,63.8%,36.2%
Duergar,Warhorse,63.8%,36.2%
Gelatinous Cube,Ghost,36.2%,63.8%
Giant Wasp,Noble,63.8%,36.2%
Grimlock,Hobgoblin,36.2%,63.8%
Magmin,Panther,63.8%,36.2%
Merrow,Mummy,36.2%,63.8%
Reef Shark,"Wererat, Human Form",36.2%,63.8%
Stone Giant,Young Bronze Dragon,63.8%,36.2%
Swarm of Beetles,Warhorse Skeleton,36.2%,63.8%
Swarm of Centipedes,Warhorse Skeleton,36.2%,63.8%
Swarm of Insects,Warhorse Skeleton,36.2%,63.8%
Swarm of Spiders,Warhorse Skeleton,36.2%,63.8%
Swarm of Wasps,Warhorse Skeleton,36.2%,63.8%
Adult Blue Dragon,Adult Bronze Dragon,63.9%,36.1%
Azer,Gargoyle,63.9%,36.1%
Dire Wolf,Mummy,36.1%,63.9%
Dire Wolf,Will-o'-Wisp,63.9%,36.1%
Druid,Giant Poisonous Snake,36.1%,63.9%
Giant Ape,Roper,63.9%,36.1%
Giant Constrictor Snake,"Wereboar, Human Form",63.9%,36.1%
Lamia,Otyugh,36.1%,63.9%
Rhinoceros,Unicorn,36.1%,63.9%
Saber-Toothed Tiger,"Wereboar, Human Form",36.1%,63.9%
Ankheg,Giant Scorpion,64.0%,36.0%
Axe Beak,Spy,36.0%,64.0%
Bandit,Guard,36.0%,64.0%
Cloaker,Knight,64.0%,36.0%
Copper Dragon Wyrmling,Death Dog,64.0%,36.0%
Darkmantle,Swarm of Beetles,36.0%,64.0%
Darkmantle,Swarm of Centipedes,36.0%,64.0%
Darkmantle,Swarm of Insects,36.0%,64.0%
Darkmantle,Swarm of Spiders,36.0%,64.0%
Darkmantle,Swarm of Wasps,36.0%,64.0%
Giant Constrictor Snake,Knight,36.0%,64.0%
Giant Weasel,Riding Horse,36.0%,64.0%
Gnoll,Swarm of Rats,64.0%,36.0%
Grimlock,Noble,64.0%,36.0%
Ogre,"Wereboar, Boar Form",64.0%,36.0%
Ogre,"Wereboar, Hybrid Form",64.0%,36.0%
Oni,Otyugh,36.0%,64.0%
Otyugh,Water Elemental,36.0%,64.0%
Rust Monster,Shadow,64.0%,36.0%
Sea Hag,"Wereboar, Boar Form",36.0%,64.0%
Sea Hag,"Wereboar, Hybrid Form",36.0%,64.0%
Spy,Swarm of Beetles,36.0%,64.0%
Spy,Swarm of Centipedes,36.0%,64.0%
Spy,Swarm of Insects,36.0%,64.0%
Spy,Swarm of Spiders,36.0%,64.0%
Spy,Swarm of Wasps,36.0%,64.0%
Chuul,Vrock,64.1%,35.9%
Dust Mephit,Giant Wasp,64.1%,35.9%
Dust Mephit,Panther,64.1%,35.9%
Ghoul,"Wererat, Hybrid Form",64.1%,35.9%
Ghoul,"Wererat, Rat Form",64.1%,35.9%
Lemure,Mastiff,64.1%,35.9%
Mastiff,Stirge,64.1%,35.9%
Animated Armor,Bearded Devil,35.9%,64.1%
Ankheg,Giant Elk,35.9%,64.1%
Blood Hawk,Giant Weasel,35.9%,64.1%
Boar,Grimlock,35.9%,64.1%
Cultist,Giant Weasel,35.9%,64.1%
Duergar,"Werewolf, Human Form",35.9%,64.1%
Giant Rat,Giant Weasel,35.9%,64.1%
Giant Rat (Diseased),Giant Weasel,35.9%,64.1%
Ankheg,Giant Boar,64.2%,35.8%
Baboon,Homunculus,35.8%,64.2%
Black Bear,Wolf,64.2%,35.8%
Boar,Steam Mephit,64.2%,35.8%
Camel,Giant Rat,64.2%,35.8%
Camel,Giant Rat (Diseased),64.2%,35.8%
Copper Dragon Wyrmling,Ettercap,35.8%,64.2%
Fire Giant,Nalfeshnee,35.8%,64.2%
Giant Badger,Quasit,64.2%,35.8%
Giant Octopus,Sea Hag,35.8%,64.2%
Night Hag,Young Copper Dragon,35.8%,64.2%
Noble,Scout,35.8%,64.2%
Pony,Scout,35.8%,64.2%
Spirit Naga,Winter Wolf,35.8%,64.2%
Centaur,Dire Wolf,64.3%,35.7%
Drow,Elk,64.3%,35.7%
Gibbering Mouther,Pegasus,64.3%,35.7%
Goblin,Violet Fungus,64.3%,35.7%
Hippogriff,Spy,64.3%,35.7%
Hydra,Shield Guardian,64.3%,35.7%
Mimic,Will-o'-Wisp,64.3%,35.7%
Phase Spider,Specter,64.3%,35.7%
Flying Sword,"Wererat, Human Form",35.7%,64.3%
Hell Hound,Mummy,35.7%,64.3%
Hunter Shark,Owlbear,35.7%,64.3%
Merfolk,Steam Mephit,35.7%,64.3%
Ogre,Troll,35.7%,64.3%
Reef Shark,Swarm of Beetles,35.7%,64.3%
Reef Shark,Swarm of Centipedes,35.7%,64.3%
Reef Shark,Swarm of Insects,35.7%,64.3%
Reef Shark,Swarm of Spiders,35.7%,64.3%
Reef Shark,Swarm of Wasps,35.7%,64.3%
Ancient Copper Dragon,Dragon Turtle,35.6%,64.4%
Baboon,Commoner,35.6%,64.4%
Draft Horse,Specter,35.6%,64.4%
Erinyes,Young Copper Dragon,35.6%,64.4%
Giant Poisonous Snake,Reef Shark,35.6%,64.4%
Swarm of Rats,"Wererat, Hybrid Form",35.6%,64.4%
Swarm of Rats,"Wererat, Rat Form",35.6%,64.4%
Medusa,Veteran,64.4%,35.6%
Priest,Skeleton,64.4%,35.6%
Axe Beak,Giant Poisonous Snake,64.5%,35.5%
Bat,Scorpion,64.5%,35.5%
Cockatrice,Elk,64.5%,35.5%
Cockatrice,Giant Crab,64.5%,35.5%
Cultist,Noble,35.5%,64.5%
Dretch,Dryad,64.5%,35.5%
Earth Elemental,Young Copper Dragon,64.5%,35.5%
Efreeti,Marilith,64.5%,35.5%
Hunter Shark,Sea Hag,64.5%,35.5%
Magmin,Swarm of Rats,35.5%,64.5%
Skeleton,Zombie,64.5%,35.5%
Warhorse,Will-o'-Wisp,35.5%,64.5%
Blink Dog,Deep Gnome (Svirfneblin),35.4%,64.6%
Giant Crab,Scout,35.4%,64.6%
Giant Eagle,Phase Spider,35.4%,64.6%
Adult Green Dragon,Cloud Giant,64.6%,35.4%
Ancient Brass Dragon,Storm Giant,64.6%,35.4%
Animated Armor,"Werewolf, Human Form",64.6%,35.4%
Archmage,Polar Bear,64.6%,35.4%
Black Dragon Wyrmling,Tiger,64.6%,35.4%
Bone Devil,Night Hag,64.6%,35.4%
Cockatrice,Guard,64.6%,35.4%
Giant Goat,Giant Owl,64.6%,35.4%
Green Hag,Minotaur,64.6%,35.4%
Nightmare,Winter Wolf,64.6%,35.4%
Brown Bear,Will-o'-Wisp,35.3%,64.7%
Dryad,Giant Weasel,35.3%,64.7%
Giant Centipede,Giant Rat,35.3%,64.7%
Giant Centipede,Giant Rat (Diseased),35.3%,64.7%
Giant Frog,Ice Mephit,64.7%,35.3%
Giant Shark,Mammoth,35.3%,64.7%
Griffon,Rhinoceros,35.3%,64.7%
Invisible Stalker,Minotaur Skeleton,64.7%,35.3%
Magmin,Zombie,64.7%,35.3%
Owlbear,Vampire Spawn,64.7%,35.3%
Black Bear,Magmin,64.8%,35.2%
Dire Wolf,Ghast,64.8%,35.2%
Druid,Imp,64.8%,35.2%
Ghoul,Gnoll,64.8%,35.2%
Giant Crab,Ice Mephit,64.8%,35.2%
Giant Frog,Pony,64.8%,35.2%
Glabrezu,Roper,64.8%,35.2%
Blink Dog,Gnoll,35.2%,64.8%
Cockatrice,Hobgoblin,35.2%,64.8%
Crocodile,Giant Eagle,35.2%,64.8%
Drow,Gnoll,35.2%,64.8%
Elephant,"Vampire, Vampire Form",35.2%,64.8%
Giant Toad,White Dragon Wyrmling,35.2%,64.8%
Giant Weasel,Hobgoblin,35.2%,64.8%
Minotaur Skeleton,Wyvern,35.2%,64.8%
Shambling Mound,Young Copper Dragon,35.2%,64.8%
Aboleth,Young Green Dragon,35.1%,64.9%
Animated Armor,Azer,35.1%,64.9%
Assassin,"Weretiger, Human Form",35.1%,64.9%
Barbed Devil,Plesiosaurus,35.1%,64.9%
Bronze Dragon Wyrmling,Will-o'-Wisp,64.9%,35.1%
Darkmantle,"Wererat, Human Form",35.1%,64.9%
Death Dog,Giant Eagle,64.9%,35.1%
Dire Wolf,Griffon,35.1%,64.9%
Doppelganger,Manticore,35.1%,64.9%
Giant Badger,Guard,35.1%,64.9%
Giant Sea Horse,Magma Mephit,64.9%,35.1%
Gibbering Mouther,Will-o'-Wisp,64.9%,35.1%
Goat,Kobold,35.1%,64.9%
Goblin,Tribal Warrior,64.9%,35.1%
Gold Dragon Wyrmling,Red Dragon Wyrmling,35.1%,64.9%
Half-Red Dragon Veteran,Silver Dragon Wyrmling,64.9%,35.1%
Hippogriff,"Wererat, Hybrid Form",64.9%,35.1%
Hippogriff,"Wererat, Rat Form",64.9%,35.1%
Imp,Priest,35.1%,64.9%
Young Green Dragon,Young White Dragon,64.9%,35.1%
Ape,Giant Lizard,65.0%,35.0%
Archmage,Giant Hyena,65.0%,35.0%
Awakened Tree,Troll,65.0%,35.0%
Berserker,"Weretiger, Human Form",35.0%,65.0%
Black Bear,Skeleton,65.0%,35.0%
Darkmantle,Giant Bat,65.0%,35.0%
Darkmantle,Lizardfolk,65.0%,35.0%
Druid,Noble,65.0%,35.0%
Giant Octopus,Merrow,65.0%,35.0%
Hill Giant,Night Hag,65.0%,35.0%
Merrow,Swarm of Quippers,65.0%,35.0%
Mummy Lord,Shambling Mound,65.0%,35.0%
Silver Dragon Wyrmling,Spirit Naga,35.0%,65.0%
Ettercap,"Werewolf, Hybrid Form",34.9%,65.1%
Ettercap,"Werewolf, Wolf Form",34.9%,65.1%
Giant Lizard,Thug,34.9%,65.1%
Giant Toad,Swarm of Poisonous Snakes,34.9%,65.1%
Hill Giant,Triceratops,34.9%,65.1%
Phase Spider,White Dragon Wyrmling,34.9%,65.1%
Ettin,Invisible Stalker,65.1%,34.9%
Ghast,"Werewolf, Hybrid Form",65.1%,34.9%
Ghast,"Werewolf, Wolf Form",65.1%,34.9%
Giant Sea Horse,Noble,65.1%,34.9%
Orc,"Wererat, Hybrid Form",65.1%,34.9%
Orc,"Wererat, Rat Form",65.1%,34.9%
Axe Beak,Blink Dog,65.2%,34.8%
Black Dragon Wyrmling,Merrow,34.8%,65.2%
Blood Hawk,Goblin,34.8%,65.2%
Bugbear,"Werewolf, Hybrid Form",65.2%,34.8%
Bugbear,"Werewolf, Wolf Form",65.2%,34.8%
Camel,Goblin,34.8%,65.2%
Ghoul,Reef Shark,65.2%,34.8%
Giant Crocodile,Night Hag,65.2%,34.8%
Giant Rat,Goblin,34.8%,65.2%
Giant Rat (Diseased),Goblin,34.8%,65.2%
Giant Wolf Spider,Quasit,65.2%,34.8%
Giant Wolf Spider,Violet Fungus,65.2%,34.8%
Glabrezu,Young Bronze Dragon,65.2%,34.8%
Gray Ooze,Pony,65.2%,34.8%
Invisible Stalker,Oni,34.8%,65.2%
Magmin,Swarm of Bats,34.8%,65.2%
Minotaur,Wyvern,65.2%,34.8%
Rust Monster,Specter,34.8%,65.2%
Warhorse,White Dragon Wyrmling,34.8%,65.2%
Boar,Cultist,65.3%,34.7%
Cult Fanatic,Giant Poisonous Snake,65.3%,34.7%
Dust Mephit,Guard,65.3%,34.7%
Otyugh,Rakshasa,65.3%,34.7%
Stone Golem,Young Gold Dragon,65.3%,34.7%
Stone Golem,Young Red Dragon,65.3%,34.7%
Ankheg,Succubus/Incubus,34.7%,65.3%
Drider,Giant Constrictor Snake,34.7%,65.3%
Giant Spider,White Dragon Wyrmling,34.7%,65.3%
Giant Wolf Spider,Panther,34.7%,65.3%
Half-Red Dragon Veteran,Nightmare,34.7%,65.3%
Animated Armor,Giant Scorpion,34.6%,65.4%
Ankheg,Saber-Toothed Tiger,34.6%,65.4%
Berserker,Half-Red Dragon Veteran,34.6%,65.4%
Death Dog,Harpy,65.4%,34.6%
Giant Bat,Swarm of Rats,65.4%,34.6%
Glabrezu,Gorgon,65.4%,34.6%
Gladiator,"Werebear, Bear Form",34.6%,65.4%
Gladiator,"Werebear, Hybrid Form",34.6%,65.4%
Gold Dragon Wyrmling,Spirit Naga,65.4%,34.6%
Hell Hound,Will-o'-Wisp,65.4%,34.6%
Kobold,Mule,34.6%,65.4%
Lizardfolk,Swarm of Rats,65.4%,34.6%
Medusa,"Wereboar, Human Form",65.4%,34.6%
Shadow,Specter,34.6%,65.4%
Stone Giant,Treant,65.4%,34.6%
Berserker,Sea Hag,65.5%,34.5%
Blood Hawk,Giant Wolf Spider,34.5%,65.5%
Bugbear,White Dragon Wyrmling,65.5%,34.5%
Dretch,Guard,34.5%,65.5%
Druid,Scout,34.5%,65.5%
Flying Sword,Satyr,34.5%,65.5%
Giant Frog,Priest,34.5%,65.5%
Giant Hyena,Will-o'-Wisp,65.5%,34.5%
Giant Octopus,Mimic,65.5%,34.5%
Giant Rat,Giant Wolf Spider,34.5%,65.5%
Giant Rat (Diseased),Giant Wolf Spider,34.5%,65.5%
Gnoll,Thug,34.5%,65.5%
Half-Red Dragon Veteran,Vampire Spawn,65.5%,34.5%
Mummy Lord,Triceratops,34.5%,65.5%
Black Dragon Wyrmling,Centaur,34.4%,65.6%
Dretch,Magmin,34.4%,65.6%
Gargoyle,Green Dragon Wyrmling,34.4%,65.6%
Giant Crab,Giant Poisonous Snake,34.4%,65.6%
